iter	Passed	Remaining
400	16362	16280
401	16400	16237
402	16437	16192
403	16476	16150
404	16512	16104
405	16554	16064
406	16593	16022
407	16631	15978
408	16668	15934
409	16704	15889
410	16742	15846
411	16778	15800
412	16819	15760
413	16855	15715
414	16891	15670
415	16930	15627
416	16968	15584
417	17007	15542
418	17044	15498
419	17081	15454
420	17123	15415
421	17160	15371
422	17198	15328
423	17235	15283
