iter	MultiClass
307	0.7630049637
308	0.7629555918
309	0.7628163471
310	0.7627709413
311	0.7627088688
312	0.762623038
313	0.7625232871
314	0.762337389
315	0.7622371008
316	0.7620685975
317	0.7619402308
318	0.7619002676
319	0.7618600486
320	0.7617736696
321	0.7616043146
322	0.7615008944
323	0.7614109086
324	0.761365492
325	0.7612278179
326	0.7611134442
327	0.7610650855
328	0.7609088869
329	0.760832501
330	0.7607010495
331	0.7606338037
332	0.7605499468
333	0.7604792382
334	0.7603662163
335	0.7601809165
336	0.7600424268
337	0.7599280621
338	0.7598359367
339	0.7597741038
340	0.7596615924
341	0.7595670799
342	0.7594379142
343	0.7593133589
344	0.7592347813
345	0.7591075424
346	0.7590466103
347	0.7589695098
348	0.758922574
349	0.7587975734
350	0.7587437401
351	0.7586494338
352	0.7585157434
353	0.7583686697
354	0.758273671
355	0.7582044011
356	0.7580757509
357	0.7579809772
358	0.7578544669
359	0.7577509816
360	0.7575778549
361	0.7574508806
362	0.7573388839
363	0.7572720645
364	0.7571929353
365	0.7571465441
366	0.7570269756
367	0.7568981857
368	0.7568266899
369	0.75666095
370	0.7565814295
371	0.7565295871
372	0.7564513976
373	0.7563877956
374	0.7562567457
375	0.7561873454
376	0.7561164374
377	0.756010853
378	0.7559129827
379	0.7558444641
380	0.7558289072
381	0.7557408329
382	0.7556390767
383	0.7555545696
384	0.755398863
385	0.7553666856
386	0.7552588428
387	0.7551537575
388	0.7549737936
389	0.7549338775
390	0.7548178153
391	0.7547534689
392	0.7547434418
393	0.7546347406
394	0.7545131696
395	0.7544370469
396	0.7543887868
397	0.7543494245
398	0.7542625185
399	0.7541916515
400	0.7541248985
401	0.7540361075
402	0.7539175245
403	0.7538508712
404	0.7537697092
405	0.7536793223
406	0.7535355282
407	0.7534051741
408	0.7533416546
409	0.7533226774
410	0.7532783132
411	0.7532014374
412	0.7531663988
413	0.753113736
414	0.7529812172
415	0.7528921791
416	0.7527768864
417	0.752730432
418	0.7526560569
419	0.7526061411
420	0.7525493076
421	0.7524285336
422	0.7523243584
423	0.752257915
